Unique Hash;Subject;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14922314903538763377;AA;AA 500;West,Christopher John;55.56;43.39;1.06;0.00;0.00;95.01;85.45
15232415281750334636;AA;AA 500;Rappa,Michael;55.39;41.62;2.10;0.00;0.90;94.61;85.06
6817047804613755402;AA;AA 501;LaBarr,Aric David;64.02;30.69;5.29;0.00;0.00;95.51;85.87
15462552533214394679;AA;AA 501;Rappa,Michael;58.68;39.82;0.30;0.00;1.20;95.07;85.48
12089427162268651135;AA;AA 502;LaBarr,Aric David;61.24;38.11;0.65;0.00;0.00;95.67;86.06
2305340771259074662;AA;AA 502;Rappa,Michael;59.82;39.26;0.61;0.31;0.00;95.46;85.86
10762467827678787318;AA;AA 503;LaBarr,Aric David;90.53;8.42;1.05;0.00;0.00;98.85;88.95
17701764364735704586;AA;AA 503;Rappa,Michael;44.72;55.28;0.00;0.00;0.00;93.92;84.47
13534549592758882969;AA;AA 504;West,Christopher John;57.67;41.80;0.53;0.00;0.00;95.29;85.71
16109782817161512570;AA;AA 504;Rappa,Michael;65.54;33.85;0.62;0.00;0.00;96.15;86.49
16290514377927976832;AA;AA 505;West,Christopher John;61.05;38.95;0.00;0.00;0.00;95.72;86.11
10022513303123484320;AA;AA 505;Rappa,Michael;74.53;25.47;0.00;0.00;0.00;97.20;87.45
11440794701422043047;AA;AA 591;LaBarr,Aric David;80.00;12.50;5.00;0.00;2.50;96.55;86.75
5106947586992433394;AA;AA 591;Rappa,Michael;73.68;26.32;0.00;0.00;0.00;97.11;87.37
2017648365970973397;AA;AA 591E;Rappa,Michael;82.86;17.14;0.00;0.00;0.00;98.11;88.29
16746935793809696597;AA;AA 591F;Rappa,Michael;82.86;17.14;0.00;0.00;0.00;98.11;88.29
12317274054258605020;AA;AA 670;Rappa,Michael;;;;;;;
17493886542499766575;AA;AA 691;Rappa,Michael;;;;;;;
5679128247491263372;ACC;ACC 200;Cohen,Scott R;19.63;45.79;24.30;5.61;4.67;86.21;77.01
10392537431939017333;ACC;ACC 200;Barnes,Richard;18.37;54.69;22.04;3.27;1.63;87.67;78.49
3575417086993209760;ACC;ACC 200;Broadfoot,John Winston;18.84;37.68;36.23;5.80;1.45;85.86;76.67
6404698925085942135;ACC;ACC 200;Mcveigh,Wayne Francis;27.82;33.83;19.55;12.03;6.77;85.67;76.39
18095413336705623451;ACC;ACC 200;Giles,John W.;25.00;50.00;21.21;1.52;2.27;88.64;79.39
4897053988280690446;ACC;ACC 200;McKittrick,Chris;14.58;35.98;32.20;10.04;7.20;83.22;74.07
11093017231804939367;ACC;ACC 200;Zuckerman,Gilroy J.;13.00;39.00;33.00;6.00;9.00;83.23;74.10
3524412966970862603;ACC;ACC 200;Thomas,Robin E.;26.45;33.88;24.79;7.44;7.44;85.71;76.45
2588183818860954584;ACC;ACC 200;Sawyers,Roby B;17.42;43.90;27.18;7.32;4.18;85.48;76.31
5521793725827146235;ACC;ACC 200;Hergeth,Helmut H;37.50;45.83;12.50;4.17;0.00;91.04;81.67
148415382065601694;ACC;ACC 200;Chen,Yuang Sung Al;26.32;35.09;21.05;10.53;7.02;85.58;76.32
6031465552747397822;ACC;ACC 200;Snell,William Ward;29.85;44.78;14.93;7.46;2.99;88.40;79.10
18026783636836483068;ACC;ACC 200;Buckless PhD,Frank A;21.02;32.95;30.68;10.23;5.11;84.66;75.45
15565162501101934734;ACC;ACC 200;Bradford,Marianne;14.92;32.04;28.18;11.05;13.81;81.47;72.32
7378797576116495966;ACC;ACC 200;Jesinkey,Brian Edward;25.81;32.26;16.13;9.68;16.13;83.45;74.19
2284852774424161026;ACC;ACC 210;Branson,Bruce C;24.73;33.64;28.42;8.14;5.07;85.73;76.48
10281933371070606415;ACC;ACC 210;Thomas,Robin E.;31.00;31.50;24.50;8.50;4.50;86.91;77.60
13144898953431286126;ACC;ACC 210;Cohen,Scott R;21.19;41.10;21.61;9.75;6.36;85.31;76.10
12548453367072890646;ACC;ACC 210;Sawyers,Roby B;18.11;38.38;27.90;10.48;5.13;84.57;75.39
13775725647076294916;ACC;ACC 210;Pagach,Donald P;14.13;27.17;40.22;6.52;11.96;81.64;72.50
1439350317211753110;ACC;ACC 210;Chen,Yuang Sung Al;48.67;37.33;10.67;2.00;1.33;92.49;83.00
2050423760868091730;ACC;ACC 210;Dow,Tom;30.94;45.93;16.29;6.51;0.33;89.37;80.07
3171375059336581007;ACC;ACC 210;Williams,Paul F.;62.50;37.50;0.00;0.00;0.00;95.88;86.25
607611481407191251;ACC;ACC 210;McKittrick,Chris;30.70;37.91;23.72;5.58;2.09;88.26;78.95
